`torch_dtype` is deprecated! Use `dtype` instead!
{'step': 104, 'id': '56e1b355e3433e14004230b0', 'loss': 1.0693247318267822, 'grad_norm': 33.64610290527344, 'input_tokens': 189, 'supervised_tokens': 6}
{'step': 105, 'id': '56e1c9bfe3433e1400423192', 'loss': 0.2841106057167053, 'grad_norm': 10.074292182922363, 'input_tokens': 203, 'supervised_tokens': 4}
{'step': 106, 'id': '5ad56ef05b96ef001a10aea9', 'loss': 0.003530173795297742, 'grad_norm': 0.2458946704864502, 'input_tokens': 203, 'supervised_tokens': 5}
{'step': 107, 'id': '5ad53b9d5b96ef001a10abc9', 'loss': 0.2594794034957886, 'grad_norm': 28.382057189941406, 'input_tokens': 227, 'supervised_tokens': 5}
{'step': 108, 'id': '5ad5344b5b96ef001a10ab88', 'loss': 0.012581815011799335, 'grad_norm': 1.0828126668930054, 'input_tokens': 224, 'supervised_tokens': 5}
{'step': 109, 'id': '56e1b169cd28a01900c67a74', 'loss': 1.2502957582473755, 'grad_norm': 28.57969093322754, 'input_tokens': 159, 'supervised_tokens': 5}
{'step': 110, 'id': '56e1c3e1e3433e1400423148', 'loss': 1.18208909034729, 'grad_norm': 32.55802917480469, 'input_tokens': 122, 'supervised_tokens': 5}
{'step': 111, 'id': '56e181d9e3433e1400422fa0', 'loss': 2.315385580062866, 'grad_norm': 26.26010513305664, 'input_tokens': 184, 'supervised_tokens': 4}
{'step': 112, 'id': '56e1c9bfe3433e1400423195', 'loss': 0.44728413224220276, 'grad_norm': 6.9677734375, 'input_tokens': 207, 'supervised_tokens': 8}
{'step': 113, 'id': '5ad56ef05b96ef001a10aeab', 'loss': 0.13017050921916962, 'grad_norm': 19.979352951049805, 'input_tokens': 200, 'supervised_tokens': 5}
{'step': 114, 'id': '56e1b355e3433e14004230b1', 'loss': 0.5073601603507996, 'grad_norm': 13.096601486206055, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 115, 'id': '56e1aff7cd28a01900c67a69', 'loss': 1.4666165113449097, 'grad_norm': 42.16441345214844, 'input_tokens': 276, 'supervised_tokens': 3}
{'step': 116, 'id': '5ad561c85b96ef001a10ad3d', 'loss': 0.0008465174469165504, 'grad_norm': 0.04672238603234291, 'input_tokens': 248, 'supervised_tokens': 5}
{'step': 117, 'id': '5ad560b85b96ef001a10ad22', 'loss': 0.002614805940538645, 'grad_norm': 0.21036288142204285, 'input_tokens': 169, 'supervised_tokens': 5}
{'step': 118, 'id': '5ad569c05b96ef001a10ae37', 'loss': 0.40043383836746216, 'grad_norm': 34.32935333251953, 'input_tokens': 243, 'supervised_tokens': 5}
{'step': 119, 'id': '56e17644e3433e1400422f41', 'loss': 0.10565315186977386, 'grad_norm': 7.237010955810547, 'input_tokens': 225, 'supervised_tokens': 5}
{'step': 120, 'id': '5ad5344b5b96ef001a10ab87', 'loss': 0.0014574090018868446, 'grad_norm': 0.0730423852801323, 'input_tokens': 219, 'supervised_tokens': 5}
{'step': 121, 'id': '56e1a564cd28a01900c67a4a', 'loss': 0.9335680603981018, 'grad_norm': 29.68202781677246, 'input_tokens': 196, 'supervised_tokens': 7}
{'step': 122, 'id': '5ad561c85b96ef001a10ad40', 'loss': 0.001128718489781022, 'grad_norm': 0.05969037488102913, 'input_tokens': 265, 'supervised_tokens': 5}
{'step': 123, 'id': '5ad569c05b96ef001a10ae3a', 'loss': 0.02110496535897255, 'grad_norm': 2.003155469894409, 'input_tokens': 244, 'supervised_tokens': 5}
{'step': 124, 'id': '5ad543c05b96ef001a10abff', 'loss': 0.3612033724784851, 'grad_norm': 25.548540115356445, 'input_tokens': 281, 'supervised_tokens': 5}
{'step': 125, 'id': '56e200e4cd28a01900c67c14', 'loss': 1.5642544031143188, 'grad_norm': 26.984682083129883, 'input_tokens': 157, 'supervised_tokens': 7}
{'step': 126, 'id': '56e1aff7cd28a01900c67a6c', 'loss': 0.8570287823677063, 'grad_norm': 53.54123306274414, 'input_tokens': 277, 'supervised_tokens': 5}
{'step': 127, 'id': '5ad5489b5b96ef001a10ac2a', 'loss': 0.001725166803225875, 'grad_norm': 0.17163462936878204, 'input_tokens': 183, 'supervised_tokens': 5}
{'step': 128, 'id': '5ad5344b5b96ef001a10ab86', 'loss': 0.3560170531272888, 'grad_norm': 31.984041213989258, 'input_tokens': 219, 'supervised_tokens': 5}
{'step': 129, 'id': '56e1b00ce3433e14004230a1', 'loss': 0.517145574092865, 'grad_norm': 6.621499538421631, 'input_tokens': 173, 'supervised_tokens': 14}
